champion_id,champion_name,play,win,win_rate,pick_rate,ban_rate,kda
147,Seraphine,44325,22192,0.500666,0.0359473,0.00427499,2.879315
150,Gnar,40761,20134,0.493953,0.0330569,0.00976153,1.85071
154,Zac,59721,30450,0.509871,0.0484334,0.0220163,3.085063
157,Yasuo,142619,72042,0.505136,0.115663,0.200933,1.643498
161,Vel'Koz,50243,25672,0.510957,0.0407468,0.00804336,2.322352
163,Taliyah,47698,24040,0.504004,0.0386828,0.00822048,2.389049
164,Camille,50606,25773,0.509287,0.0410412,0.0145341,1.926817
166,Akshan,35849,18509,0.516304,0.0290733,0.0357589,2.397575
200,Bel'Veth,24834,12754,0.51357,0.0201402,0.038759,2.683868
201,Braum,97938,51178,0.522555,0.0794271,0.139089,3.061022
202,Jhin,194307,96876,0.498572,0.157582,0.0148491,2.835297
203,Kindred,43102,21820,0.506241,0.0349555,0.0402929,2.40766
221,Zeri,80887,40715,0.503357,0.0655989,0.0178407,2.376668
222,Jinx,155170,80893,0.521319,0.125842,0.0278132,2.335912
223,Tahm Kench,35116,17429,0.496326,0.0284789,0.0105089,2.362912
233,Briar,53441,27862,0.52136,0.0433403,0.0464833,2.32174
234,Viego,172769,85179,0.493022,0.140115,0.109009,2.62295
235,Senna,116202,58026,0.499355,0.0942391,0.0734013,2.892355
236,Lucian,212545,108188,0.509012,0.172373,0.198283,2.447783
238,Zed,178628,87303,0.488742,0.144866,0.290192,2.489186
240,Kled,20648,10685,0.517484,0.0167454,0.00649079,2.091635
245,Ekko,117463,60396,0.51417,0.0952618,0.0448791,2.638466
246,Qiyana,42715,21643,0.506684,0.0346416,0.0109873,2.288288
254,Vi,59136,28508,0.482075,0.0479589,0.0214599,2.487117
266,Aatrox,134579,67278,0.499915,0.109143,0.125075,1.871545
267,Nami,164768,85590,0.519458,0.133626,0.0313173,3.38379
268,Azir,38421,18013,0.468832,0.0311592,0.00525394,1.930148
350,Yuumi,86282,42591,0.493626,0.0699742,0.133585,4.550059
360,Samira,63979,32659,0.510464,0.0518866,0.0655352,2.239613
412,Thresh,144394,74111,0.513255,0.117103,0.0542526,2.807262
420,Illaoi,21539,10635,0.493756,0.017468,0.0304165,1.402271
421,Rek'Sai,16476,8455,0.513171,0.0133619,0.00413915,3.025368
427,Ivern,21913,11471,0.523479,0.0177713,0.00861567,3.827731
429,Kalista,16048,7316,0.455882,0.0130148,0.00302874,1.944983
432,Bard,67029,34371,0.512778,0.0543601,0.0150208,3.136326
497,Rakan,68032,34565,0.50807,0.0551735,0.00485777,3.071825
498,Xayah,74095,37863,0.511006,0.0600906,0.0102622,2.39766
516,Ornn,48306,24746,0.512276,0.0391759,0.00432073,2.499337
517,Sylas,159088,79197,0.497819,0.129019,0.101933,2.069715
518,Neeko,40269,20083,0.498721,0.0326579,0.0180871,2.327284
523,Aphelios,110677,55166,0.498441,0.0897584,0.0321449,1.976955
526,Rell,68203,35089,0.514479,0.0553122,0.0270595,3.02625
555,Pyke,75048,37457,0.499107,0.0608635,0.234221,2.256561
711,Vex,36855,19510,0.529372,0.0298892,0.0356387,2.416483
777,Yone,111550,52727,0.472676,0.0904664,0.0480265,1.548393
799,Ambessa,75393,37192,0.493308,0.0611433,0.0890951,1.950342
800,Mel,105017,50069,0.47677,0.0851681,0.265284,2.391864
875,Sett,95186,49844,0.523648,0.0771953,0.0487956,1.706219
876,Lillia,38761,19214,0.495704,0.0314349,0.027573,2.882875
887,Gwen,62488,31561,0.505073,0.0506774,0.085723,1.803673
888,Renata Glasc,17407,8643,0.496524,0.014117,0.00207858,2.806083
893,Aurora,65599,32879,0.501212,0.0532004,0.0440408,2.507771
895,Nilah,30748,16296,0.529986,0.0249364,0.0427695,2.218538
897,K'Sante,56311,27259,0.484079,0.0456679,0.0282161,2.104564
901,Smolder,148408,74482,0.501873,0.120358,0.0529398,2.300127
902,Milio,105099,54677,0.520243,0.0852346,0.0545866,3.759841
910,Hwei,88584,44855,0.506356,0.0718411,0.0355841,2.442067
950,Naafiri,55215,27967,0.506511,0.044779,0.131214,2.94476 
